id,question,answer,category,source
1,What are the symptoms of type 2 diabetes?,Common symptoms include increased thirst and urination, fatigue, blurred vision, slow healing of cuts and bruises, and frequent infections. Some people experience no symptoms in early stages.,diabetes,MedQuAD
2,How is type 2 diabetes diagnosed?,"Diagnosis involves fasting blood glucose test (≥126 mg/dL), HbA1c test (≥6.5%), or oral glucose tolerance test. A random blood glucose ≥200 mg/dL with symptoms also confirms diagnosis.",diabetes,MedQuAD
3,What lifestyle changes help manage type 2 diabetes?,"Regular physical activity (150 min/week), healthy diet low in refined carbs and saturated fats, weight loss if overweight, blood sugar monitoring, and avoiding smoking and excess alcohol.",diabetes,MedQuAD
4,What is hypertension and what causes it?,"Hypertension (high blood pressure) is when blood pressure consistently reads 130/80 mmHg or higher. Causes include genetics, obesity, sedentary lifestyle, high sodium diet, stress, and kidney disease.",hypertension,MedQuAD
5,What medications are used to treat hypertension?,"Common medications include ACE inhibitors (lisinopril), ARBs (losartan), calcium channel blockers (amlodipine), diuretics (hydrochlorothiazide), and beta-blockers (metoprolol). Often combination therapy is needed.",hypertension,MedQuAD
6,What are the warning signs of a heart attack?,"Classic symptoms: chest pain or pressure, pain radiating to left arm/jaw/neck, shortness of breath, cold sweat, nausea. Women may have atypical symptoms like fatigue, back pain, and jaw pain without chest pain.",cardiology,MedQuAD
7,What is the difference between a heart attack and cardiac arrest?,"A heart attack occurs when blood flow to the heart is blocked (coronary artery occlusion). Cardiac arrest occurs when the heart stops beating entirely due to an electrical malfunction. A heart attack can lead to cardiac arrest.",cardiology,MedQuAD
8,What is asthma and how is it triggered?,"Asthma is a chronic condition where airways become inflamed and narrow. Triggers include allergens (pollen, dust mites, pet dander), cold air, exercise, respiratory infections, air pollution, and strong odors.",respiratory,MedQuAD
9,How is asthma treated?,"Treatment includes quick-relief inhalers (albuterol/salbutamol) for acute attacks, and long-term controllers like inhaled corticosteroids (fluticasone). Biologics like omalizumab are used for severe allergic asthma.",respiratory,MedQuAD
10,What is COPD and who is at risk?,"COPD (Chronic Obstructive Pulmonary Disease) is progressive lung disease causing airflow limitation. Risk factors: smoking (primary cause), long-term exposure to air pollutants, occupational dust/chemicals, and genetic factors (alpha-1 antitrypsin deficiency).",respiratory,MedQuAD
11,What are the symptoms of depression?,"Persistent sadness, loss of interest in activities, changes in sleep (insomnia or hypersomnia), fatigue, difficulty concentrating, feelings of worthlessness, changes in appetite/weight, and thoughts of death or suicide.",mental_health,MedQuAD
12,What is the difference between depression and bipolar disorder?,"Depression involves persistent low mood episodes only. Bipolar disorder involves cycles of depressive episodes AND manic/hypomanic episodes (elevated mood, decreased need for sleep, impulsivity, grandiosity).",mental_health,MedQuAD
13,What medications treat depression?,"SSRIs (sertraline, fluoxetine) are first-line. SNRIs (venlafaxine), bupropion, TCAs, and MAOIs are alternatives. Antidepressants typically take 4-6 weeks to show full effect.",mental_health,MedQuAD
14,What are the early symptoms of Alzheimer's disease?,"Early signs: memory loss that disrupts daily life (forgetting recent events), difficulty planning/problem-solving, confusion with time or place, trouble understanding visual images, new problems with words, misplacing items.",neurology,MedQuAD
